"","nomem_encr","nohouse_encr","wave","geslacht","positie","gebjaar","leeftijd","lftdhhh","aantalhh","aantalki","brutoink_f","nettoink","netinc","nettoink_f","brutohh_f","nettohh_f","oplzon","oplmet","oplcat","simpc","bm10a_m","bm10a001","bm10a004","m_0.5","AA_0.5","m_0.1","AA_0.1","m_0.9","AA_0.9","alpha1","sigma2","child_dif","coef_risk_low","coef_risk_high","tp19a045"
"108",857037,543853,201001,2,2,1964,46,46,4,2,1558,1250,-13,1250,5658,3500,4,4,"mbo",0,201001,2,0,0.5,0,0.025,0.075,0.8032,0.0968000000000001,1.5,0,0,0.411637775270135,1,0
"109",857086,500512,201001,2,2,1965,44,46,4,2,0,0,0,0,4000,2550,2,2,"vmbo",0,201001,1,1,0.0313,0.4687,0.025,0.075,0.9719,-0.0719,1.5,0,0,0.72248179628073,1,200
"110",857684,599566,201001,1,2,1977,32,29,2,0,2937,1900,1900,1900,5137,3400,6,6,"wo",0,201001,2,0,0.4688,0.0311999999999999,0.2969,-0.1969,0.1282,0.7718,1.45,0.94870418732162,2,0.400756256532678,0.05129581267838,10
"111",857977,574484,201001,1,1,1959,50,50,3,1,2200,1800,1800,1800,2200,1800,2,2,"vmbo",1,201001,2,1,0.25,0.25,0.1,0,0.55,0.35,1.5,0.142365774893191,0,0.167445388840868,0.857634225106809,0
"112",858563,511734,201001,2,3,1973,36,40,4,2,700,500,500,500,6100,4000,6,3,"havo/vwo",0,201001,2,0,0.375,0.125,0.1,0,0.325,0.575,1.5,0.310878362980366,0,0.411637775270135,0.689121637019634,20
"113",859381,505786,201001,1,1,1973,36,36,4,2,2594,1461,1461,1461,3955,2648,4,2,"vmbo",0,201001,1,0,0.4688,0.0311999999999999,0.075,0.025,0.5219,0.3781,0,0,0,1,1,35
"114",859570,580151,201001,1,3,1967,42,40,4,2,5103.24225742445,3250,-13,3250,10298.2238356441,6500,6,5,"hbo",0,201001,1,1,0.4375,0.0625,0.4375,-0.3375,0.55,0.35,1.5,0.450517318595846,0,0.167445388840868,0.549482681404154,400
"115",860385,527224,201001,1,5,1983,26,53,3,1,NA,-13,-13,NA,NA,NA,6,5,"hbo",0,201001,2,0,0.4063,0.0936999999999999,0.1282,-0.0282,0.2969,0.6031,1.5,0.387675175938715,0,0.411637775270135,0.612324824061285,0
"116",863000,512991,201001,2,2,1976,33,37,3,1,286.127979244037,250,-13,250,2894.96333647161,2000,2,2,"vmbo",0,201001,1,0,0.4063,0.0936999999999999,0.2969,-0.1969,0.2407,0.6593,1.5,0.236114112681943,0,1,0.763885887318057,50
"117",864102,584027,201001,1,1,1988,21,21,1,0,2300,1500,1500,1500,2300,1500,4,7,"primary",0,201001,1,1,0.4688,0.0311999999999999,0.5219,-0.4219,0.025,0.875,0.5,1.4785356172836,1,0.59962586373933,-0.478535617283596,0
